Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
01/23/2017,30.02,98.41,107.12,66.86,82.2,116.11,257.48,75.73,82.15,121.38,2265.2
01/24/2017,29.993,101.43,107.9,67.77,84.19,116.92,252.91,77.08,83.23,121.05,2280.07
01/25/2017,30.47,104.06,108.04,68.82,85,120.43,251,78.58,83.9,121.79,2298.37
01/26/2017,30.485,102.75,108.06,67.64,84.24,121.12,254.97,79.26,83.24,121.88,2296.68
01/27/2017,30.488,102.07,109.3,66.82,82.77,120.69,253.5,78.03,83.77,122.86,2294.69
01/30/2017,30.408,101.02,110.94,66.89,82.33,120.62,252.83,77.9,83.7,123.02,2280.9
01/31/2017,30.338,101.31,110.65,67.51,81.62,120.18,251.33,75.54,82.71,122.57,2278.87
02/01/2017,32.188,101.57,111.3,66.4,80.75,119.57,250.9,76.27,82.44,122.42,2279.55
02/02/2017,32.133,100.84,110.61,66.52,81.05,120.42,251.97,75.89,82.3,123.22,2280.85
02/03/2017,32.27,100.39,110.3,66.39,79.95,122.6,254.46,76.5,86.08,124.24,2297.42
02/06/2017,32.572,100.9,109.57,66.47,79.14,122.88,255.31,76.22,85.83,124.45,2292.56
02/07/2017,32.883,100.83,109,66.14,78.55,125.84,256.37,76.18,85.78,124.59,2293.08
02/08/2017,33.01,103.57,109,67.17,78.86,125.08,256.74,75.95,85.09,124.67,2294.67
02/09/2017,33.105,103.34,109.49,67,79.25,126.21,258.2,75.3,85.58,124.48,2307.87
02/10/2017,33.03,102.36,109.26,67.62,79.86,126.29,260.55,75.16,85.9,125.82,2316.1
02/13/2017,33.323,103.1,109.65,66.99,79.9,126.53,262.35,75.52,86.44,125.54,2328.25
02/14/2017,33.755,101.59,110.33,67.76,79.98,126.92,262.56,75.64,86.85,125.81,2337.58
02/15/2017,33.878,101.55,110.18,67.16,80.08,128.33,263.46,75.67,87.54,126.48,2349.25
02/16/2017,33.836,100.82,110.71,65.97,78.5,128.61,265.33,76.25,87.41,126.7,2347.22
02/17/2017,33.93,100.52,110.06,66.73,78.66,130.39,265.35,76.44,87.46,127.8,2351.16
02/21/2017,34.175,102.12,110.01,66.72,79.03,130.76,265.66,77.08,87.92,128.04,2365.38
02/22/2017,34.278,104.2,110.12,67,78.38,130.78,265.92,77.23,87.8,127.85,2362.82
02/23/2017,34.133,102.46,109.73,64.84,78.61,130.78,264.85,77.14,88.18,128.27,2363.81
02/24/2017,34.165,102.95,110.32,65.32,78.03,130.82,266,77.24,88.43,128.65,2367.34
02/27/2017,34.233,103.6,110.23,66.43,78.86,129.99,269.36,77.19,88,126.99,2369.75
02/28/2017,34.248,102.9,110.09,65.26,78.19,129.47,266.58,76.62,87.94,127.65,2363.64
03/01/2017,34.948,104.04,111.04,65.39,79.37,130,268.38,78.15,88.99,129.05,2395.96
03/02/2017,34.74,103.19,110.59,66.53,78.33,130,266.99,78.08,88.53,128.23,2381.92
03/03/2017,34.945,103.31,111.24,65.7,78.34,129.64,267.76,77.86,88.79,127.9,2383.12
